TIME,RATE,ERROR,FRACEXP
1.0,4.769866,2.1840024,1.0
2.0,3.5722828,1.8900484,1.0
3.0,10.968566,3.3118825,1.0
4.0,13.1965885,3.632711,1.0
5.0,2.3974235,1.5483615,1.0
6.0,10.943323,3.3080695,1.0
7.0,4.7854466,2.1875663,1.0
8.0,6.088615,2.467512,1.0
9.0,6.008359,2.4511955,1.0
10.0,7.325648,2.7065935,1.0
11.0,8.389428,2.896451,1.0
12.0,3.5694098,1.8892882,1.0
13.0,5.9570312,2.440703,1.0
14.0,2.4578068,1.5677394,1.0
15.0,8.479021,2.911876,1.0
16.0,5.9517584,2.4396226,1.0
17.0,9.778763,3.1271014,1.0
18.0,6.121501,2.4741666,1.0
19.0,7.259383,2.6943243,1.0
20.0,3.5910783,1.895014,1.0
21.0,6.005733,2.4506598,1.0
22.0,9.528002,3.0867462,1.0
23.0,8.369624,2.8930302,1.0
24.0,7.240055,2.690735,1.0
25.0,12.01661,3.4664981,1.0
26.0,1.1793313,1.0859702,1.0
27.0,8.369625,2.8930304,1.0
28.0,2.4152782,1.5541165,1.0
29.0,10.773436,3.2822912,1.0
30.0,5.984265,2.4462757,1.0
31.0,10.815742,3.2887294,1.0
32.0,7.2285104,2.6885889,1.0
33.0,10.79383,3.2853966,1.0
34.0,12.144698,3.4849243,1.0
35.0,9.570586,3.0936365,1.0
36.0,10.736554,3.276668,1.0
37.0,1.1877345,1.0898323,1.0
38.0,2.396738,1.5481402,1.0
39.0,6.003972,2.4503005,1.0
40.0,7.2336926,2.6895525,1.0
41.0,8.50921,2.917055,1.0
42.0,9.63022,3.1032596,1.0
43.0,7.2056985,2.684343,1.0
44.0,8.463998,2.909295,1.0
45.0,8.380026,2.8948274,1.0
46.0,3.631912,1.9057575,1.0
47.0,8.459466,2.9085162,1.0
48.0,8.384898,2.895669,1.0
49.0,2.4019363,1.5498182,1.0
50.0,9.550037,3.0903134,1.0
51.0,7.184208,2.6803372,1.0
52.0,7.195747,2.682489,1.0
53.0,9.577122,3.0946925,1.0
54.0,4.7800403,2.1863303,1.0
55.0,8.479841,2.9120166,1.0
56.0,7.373114,2.7153478,1.0
57.0,8.428139,2.9031258,1.0
58.0,4.833368,2.1984923,1.0
59.0,1.1434083,1.0693027,1.0
60.0,7.2979727,2.701476,1.0
61.0,10.767633,3.281407,1.0
62.0,7.247849,2.692183,1.0
63.0,2.4204261,1.5557718,1.0
64.0,4.8181634,2.1950316,1.0
65.0,9.610957,3.1001544,1.0
66.0,9.557315,3.0914907,1.0
67.0,8.409194,2.899861,1.0
68.0,3.5775967,1.8914536,1.0
69.0,4.741381,2.1774712,1.0
70.0,5.9934487,2.448152,1.0
71.0,3.5748749,1.890734,1.0
72.0,7.2494698,2.692484,1.0
73.0,2.3777795,1.5420051,1.0
74.0,4.8144846,2.1941934,1.0
75.0,8.449977,2.9068844,1.0
76.0,5.93549,2.4362862,1.0
77.0,10.722382,3.274505,1.0
78.0,9.728789,3.1191008,1.0
79.0,6.019363,2.453439,1.0
80.0,8.408434,2.89973,1.0
81.0,2.4670444,1.5706828,1.0
